id,text,Authors,Researcher Ids,ORCIDs,title,Volume,Issue,DOI,Document Type,Publication Date,Abstract,ISSN,eISSN,ISBN,Pages,Publisher,Proceedings title,Keywords,label,Comments
7192,"Title:Audio-based Indonesia Toxic Language Classification using Bidirectional Long Short Term Memory

 Users are able to connect with one another via web-based internet technologies through social media platforms like Twitter. On these platforms, hate speech has become a troubling problem, when people or groups are targeted because of characteristics like color, ethnicity, gender, nationality, religion, or organization. Such information is spreading quickly as a result of the practice of using hate speech to gain fast notoriety. 80% of cybercrime prosecutions in Indonesia involve hate speech and defamation on social media, despite the fact that there are regulations like the UU ITE Law, Chapter 28, Number 2, that forbid inciting hatred or enmity on the basis of race, religion, or ethnicity. This research paper explores a novel approach to audio-based toxic language classification in the Indonesian language, leveraging key techniques including Bidirectional Long Short-Term Memory (BiLSTM), speech recognition, and natural language processing. The study focuses on identifying toxic language using a balanced dataset of 5000 entries, equally divided between toxic and non-toxic categories. This dataset was compiled from diverse sources such as NusaCrowd, Kaggle, and others, and was subsequently cleansed of emojis and symbols to maintain a plain text environment. Utilizing audio-based content analysis, the methodology involved the transcription and classification of audio data, yielding an accuracy of 95.2%, precision of 96.4%, recall of 93.2% and F1 score of 94.8% in the detection of toxic speech. The implications of this research extend beyond the academic sphere of toxic language detection, holding significant real-world application potential in areas such as content moderation for Indonesian social media platforms and toxic language detection in customer service interactions. Thus, this study addresses a critical issue of toxic language proliferation in Indonesian online communities and social media platforms, further contributing to the development of healthier digital environments in the future.","Luckianto, Marvin, Addison, Renaldi, Vincent, Vincent, Muliono, Yohan, Prasetyo, Simeon Yuda",,,Audio-based Indonesia Toxic Language Classification using Bidirectional Long Short Term Memory,,,10.1109/ICORIS60118.2023.10352242 , ,2023,"Users are able to connect with one another via web-based internet technologies through social media platforms like Twitter. On these platforms, hate speech has become a troubling problem, when people or groups are targeted because of characteristics like color, ethnicity, gender, nationality, religion, or organization. Such information is spreading quickly as a result of the practice of using hate speech to gain fast notoriety. 80% of cybercrime prosecutions in Indonesia involve hate speech and defamation on social media, despite the fact that there are regulations like the UU ITE Law, Chapter 28, Number 2, that forbid inciting hatred or enmity on the basis of race, religion, or ethnicity. This research paper explores a novel approach to audio-based toxic language classification in the Indonesian language, leveraging key techniques including Bidirectional Long Short-Term Memory (BiLSTM), speech recognition, and natural language processing. The study focuses on identifying toxic language using a balanced dataset of 5000 entries, equally divided between toxic and non-toxic categories. This dataset was compiled from diverse sources such as NusaCrowd, Kaggle, and others, and was subsequently cleansed of emojis and symbols to maintain a plain text environment. Utilizing audio-based content analysis, the methodology involved the transcription and classification of audio data, yielding an accuracy of 95.2%, precision of 96.4%, recall of 93.2% and F1 score of 94.8% in the detection of toxic speech. The implications of this research extend beyond the academic sphere of toxic language detection, holding significant real-world application potential in areas such as content moderation for Indonesian social media platforms and toxic language detection in customer service interactions. Thus, this study addresses a critical issue of toxic language proliferation in Indonesian online communities and social media platforms, further contributing to the development of healthier digital environments in the future.",,,,, ,  2023 5th International Conference on Cybernetics and Intelligent System (ICORIS),,out_but_toxicity,
7193,"Title:Bangla Toxic Comment Classification (Machine Learning and Deep Learning Approach)

 Toxic comment classification problem is a popular classification problem nowadays. There are many attempts in English but it's rare in Bangla language. We tried to build a classifier for Bangla language. We tried different approach to find the optimized classifier with better accuracy and optimized for log-loss, hamming-loss. As this is a multilevel problem, we used binary relevance methods for binary classifiers.","Jubaer, A.N.M., Sayem, Abu, Rahman, Md. Ashikur",,,Bangla Toxic Comment Classification (Machine Learning and Deep Learning Approach),,,10.1109/SMART46866.2019.9117286 , ,2019,"Toxic comment classification problem is a popular classification problem nowadays. There are many attempts in English but it's rare in Bangla language. We tried to build a classifier for Bangla language. We tried different approach to find the optimized classifier with better accuracy and optimized for log-loss, hamming-loss. As this is a multilevel problem, we used binary relevance methods for binary classifiers.",,,,, ,  2019 8th International Conference System Modeling and Advancement in Research Trends (SMART),,out_but_toxicity,
7194,"Title:Building Ontology for Toxic words

 Many online social media platforms have particular community guidelines for comment sections. The platforms that maintain commentary sections in various posts, videos, and blogs need to adhere to these guidelines. These comment sections may have specific comments that fail to satisfy the rules and regulations to maintain societal norms of communication. These comments are classified as toxic comments. Google's Perspective API defines toxic comments as comments that are rude, offensive, and likely to make someone leave the conversation. In this paper, we have built a toxic words ontology, which is as per our knowledge, first Ontology built on toxic words. This Ontology consists of toxic words and their antonyms and synonyms in increasing order of their toxicity levels. Traversing this ontology, we can find the best-suited word with less toxicity and similar meaning. This is a dynamic ontology and new words can be added easily. Thus letting us convey messages in a civil manner. We propose to reduce toxicity in the most straightforward way. After studying several papers, we found out that the toxicity mainly occurs because of use of toxic words. We also observed that use of less toxic synonyms or no toxic synonyms has huge effects on toxicity score given by the Perspective API, and results section proves that.","Taru, Uma, Patil, Archana",,,Building Ontology for Toxic words,,,10.1109/MLCSS57186.2022.00052 , ,2022,"Many online social media platforms have particular community guidelines for comment sections. The platforms that maintain commentary sections in various posts, videos, and blogs need to adhere to these guidelines. These comment sections may have specific comments that fail to satisfy the rules and regulations to maintain societal norms of communication. These comments are classified as toxic comments. Google's Perspective API defines toxic comments as comments that are rude, offensive, and likely to make someone leave the conversation. In this paper, we have built a toxic words ontology, which is as per our knowledge, first Ontology built on toxic words. This Ontology consists of toxic words and their antonyms and synonyms in increasing order of their toxicity levels. Traversing this ontology, we can find the best-suited word with less toxicity and similar meaning. This is a dynamic ontology and new words can be added easily. Thus letting us convey messages in a civil manner. We propose to reduce toxicity in the most straightforward way. After studying several papers, we found out that the toxicity mainly occurs because of use of toxic words. We also observed that use of less toxic synonyms or no toxic synonyms has huge effects on toxicity score given by the Perspective API, and results section proves that.",,,,, ,"  2022 International Conference on Machine Learning, Computer Systems and Security (MLCSS)",,detection#evaluation,
7195,"Title:A Profound Method for Three-Tier Toxic Word Classification using LSTM-RNN

 Text classification is the activity of labeling natural language texts with relevant categories from a predefined set. In the research work, The words are categorized from a sentence according to their toxicity and according to modification will be done. As Online platforms such as social media provide opportunities to users to express their thoughts and their opinions on various topics and incidents. Due to the different opinion of every individual, an explicit language in some cases which hurt the readers. So, to solve a novel method is proposed by building a model wherein toxic words are categorized into three classes in keeping with their toxicity. In the primary class, words that are least toxic are indicated through crimson traces to the person, withinside the secondary class words are extra poisonous than the primary one, and again and again. The use of those phrases through individual, that words will be eliminated automatically and withinside the remaining or third class, words are the maximum toxic in assessment than that of the first and second class, through the use of those phrases’ person account could be deleted/blocked. As a punishment, the account will be blocked for a specific time period and the length could be improved as in increasing of the occurrences of those words.","Devtulla, Yogesh, Baroniya, Sumit, Raj, Rishika, Kumar, N.Suresh",,,A Profound Method for Three-Tier Toxic Word Classification using LSTM-RNN,,,10.1109/TEMSMET56707.2023.10150062 , ,2023,"Text classification is the activity of labeling natural language texts with relevant categories from a predefined set. In the research work, The words are categorized from a sentence according to their toxicity and according to modification will be done. As Online platforms such as social media provide opportunities to users to express their thoughts and their opinions on various topics and incidents. Due to the different opinion of every individual, an explicit language in some cases which hurt the readers. So, to solve a novel method is proposed by building a model wherein toxic words are categorized into three classes in keeping with their toxicity. In the primary class, words that are least toxic are indicated through crimson traces to the person, withinside the secondary class words are extra poisonous than the primary one, and again and again. The use of those phrases through individual, that words will be eliminated automatically and withinside the remaining or third class, words are the maximum toxic in assessment than that of the first and second class, through the use of those phrases’ person account could be deleted/blocked. As a punishment, the account will be blocked for a specific time period and the length could be improved as in increasing of the occurrences of those words.",,,,, ,"  2023 IEEE 3rd International Conference on Technology, Engineering, Management for Societal impact using Marketing, Entrepreneurship and Talent (TEMSMET)",,detection,
7196,"Title:Toxic Potential Indicator (TPI) for Material Assessment in Automobile Industry

 In this paper, a Chinese Toxic Potential Indicator (TPI) evaluation process is presented based on the existing research achievement. The proposed process combines the ""The Table of Hazardous Substance Declaration for Chinese Languages"", ""The Result Table of Hazardous Impact Evaluation"" with ""The Method of Unit Transformation for Allowable Workplace Concentration"". Furthermore, the Chinese version TPI calculator is developed for evaluating chemical substances more easily. The evaluation of automobile manufacturer chemical substances are successfully illustrated the proposed process","Chen, Jahau Lewis, Chen, Cheng Ming, Yen, Sheng-Bou, Chiou, J.Y.R., Yeh, S.F., Liu, Chen-Yu",,,Toxic Potential Indicator (TPI) for Material Assessment in Automobile Industry,,,10.1109/ECODIM.2005.1619212 , ,2005,"In this paper, a Chinese Toxic Potential Indicator (TPI) evaluation process is presented based on the existing research achievement. The proposed process combines the ""The Table of Hazardous Substance Declaration for Chinese Languages"", ""The Result Table of Hazardous Impact Evaluation"" with ""The Method of Unit Transformation for Allowable Workplace Concentration"". Furthermore, the Chinese version TPI calculator is developed for evaluating chemical substances more easily. The evaluation of automobile manufacturer chemical substances are successfully illustrated the proposed process",,,,, ,  2005 4th International Symposium on Environmentally Conscious Design and Inverse Manufacturing,,out_of_scope,
7197,"Title:Machine Learning Performance Comparison for Toxic Speech Classification : Online Payday Loan Scams in Indonesia

 The recent advancement of Machine Learning (ML) has brought us to many implementations. Online payday loan scam is a phenomenon which interestingly containing toxic speech in conversation. Toxic speech means implying threat toxic speech, offensive language, and hate speech. toxic speech would ultimately trigger such responses, namely loss of work ethic, alienation from the social, even suicidal thought. Despite the unnerving impact of toxic speech, there is still little known research regarding toxic speech, one of them is how to classify toxic speech. This research aims to make a comparison of various ML techniques with the means of classifying toxic speech found in the online payday loan scam phenomenon. For this experiment, we employed Support Vector Machine (SVM), Multi-Layer Perceptron (MLP), Random Forest (RF), and k-Nearest Neighbour (k-NN). All data were taken, filtered, and normalized manually from YouTube. Many reported the incident of online payday loan scam via YouTube in the form of two-way call communication. In total, there are 79 fraud report records converted into *.wav files, followed by the feature extraction process using openSMILE, and are classified using machine learning. We get the MLP result which has an acquisition value of 97.9%, below that received SVM 97.2%.","Frismanda, Gumelar, Agustinus Bimo, Adi, Derry Pramono, Setiawan, Eman, Widodo, Agung, Sulistyono, MY Teguh",,,Machine Learning Performance Comparison for Toxic Speech Classification : Online Payday Loan Scams in Indonesia,,,10.1109/iSemantic50169.2020.9234259 , ,2020,"The recent advancement of Machine Learning (ML) has brought us to many implementations. Online payday loan scam is a phenomenon which interestingly containing toxic speech in conversation. Toxic speech means implying threat toxic speech, offensive language, and hate speech. toxic speech would ultimately trigger such responses, namely loss of work ethic, alienation from the social, even suicidal thought. Despite the unnerving impact of toxic speech, there is still little known research regarding toxic speech, one of them is how to classify toxic speech. This research aims to make a comparison of various ML techniques with the means of classifying toxic speech found in the online payday loan scam phenomenon. For this experiment, we employed Support Vector Machine (SVM), Multi-Layer Perceptron (MLP), Random Forest (RF), and k-Nearest Neighbour (k-NN). All data were taken, filtered, and normalized manually from YouTube. Many reported the incident of online payday loan scam via YouTube in the form of two-way call communication. In total, there are 79 fraud report records converted into *.wav files, followed by the feature extraction process using openSMILE, and are classified using machine learning. We get the MLP result which has an acquisition value of 97.9%, below that received SVM 97.2%.",,,,, ,  2020 International Seminar on Application for Technology of Information and Communication (iSemantic),,out_but_toxicity,
7198,"Title:Bad Characters: Imperceptible NLP Attacks

 Several years of research have shown that machine-learning systems are vulnerable to adversarial examples, both in theory and in practice. Until now, such attacks have primarily targeted visual models, exploiting the gap between human and machine perception. Although text-based models have also been attacked with adversarial examples, such attacks struggled to preserve semantic meaning and indistinguishability. In this paper, we explore a large class of adversarial examples that can be used to attack text-based models in a black-box setting without making any human-perceptible visual modification to inputs. We use encoding-specific perturbations that are imperceptible to the human eye to manipulate the outputs of a wide range of Natural Language Processing (NLP) systems from neural machine-translation pipelines to web search engines. We find that with a single imperceptible encoding injection – representing one invisible character, homoglyph, reordering, or deletion – an attacker can significantly reduce the performance of vulnerable models, and with three injections most models can be functionally broken. Our attacks work against currently-deployed commercial systems, including those produced by Microsoft and Google, in addition to open source models published by Facebook, IBM, and HuggingFace. This novel series of attacks presents a significant threat to many language processing systems: an attacker can affect systems in a targeted manner without any assumptions about the underlying model. We conclude that text-based NLP systems require careful input sanitization, just like conventional applications, and that given such systems are now being deployed rapidly at scale, the urgent attention of architects and operators is required.","Boucher, Nicholas, Shumailov, Ilia, Anderson, Ross, Papernot, Nicolas",,,Bad Characters: Imperceptible NLP Attacks,,,10.1109/SP46214.2022.9833641 , ,2022,"Several years of research have shown that machine-learning systems are vulnerable to adversarial examples, both in theory and in practice. Until now, such attacks have primarily targeted visual models, exploiting the gap between human and machine perception. Although text-based models have also been attacked with adversarial examples, such attacks struggled to preserve semantic meaning and indistinguishability. In this paper, we explore a large class of adversarial examples that can be used to attack text-based models in a black-box setting without making any human-perceptible visual modification to inputs. We use encoding-specific perturbations that are imperceptible to the human eye to manipulate the outputs of a wide range of Natural Language Processing (NLP) systems from neural machine-translation pipelines to web search engines. We find that with a single imperceptible encoding injection – representing one invisible character, homoglyph, reordering, or deletion – an attacker can significantly reduce the performance of vulnerable models, and with three injections most models can be functionally broken. Our attacks work against currently-deployed commercial systems, including those produced by Microsoft and Google, in addition to open source models published by Facebook, IBM, and HuggingFace. This novel series of attacks presents a significant threat to many language processing systems: an attacker can affect systems in a targeted manner without any assumptions about the underlying model. We conclude that text-based NLP systems require careful input sanitization, just like conventional applications, and that given such systems are now being deployed rapidly at scale, the urgent attention of architects and operators is required.",,,,, ,  2022 IEEE Symposium on Security and Privacy (SP),,evaluation#methodology,
7199,"Title:Deep Learning Model for Identification and Classification of Web based Toxic Comments

 Everyday, many individuals face online trolling and receive hate on different social media platforms like Twitter, Instagram to name a few. Often these comments involving racial abuse, hate based on religion, caste are made by anonymous people over the internet, and it is quite a task to keep these comments under control. So, the objective was to develop a Machine Learning Model to help identify these comments. A Deep Learning Model (a sequential model) was made and it was trained to identify and classify a comment based on whether it is an apt comment or not. LSTM (Long Short-Term Memory) is a type of recurrent neural network (RNN) that is particularly well-suited for modeling sequential data, such as text. LSTMs are capable of modeling long-term dependencies in sequential data. In the case of text classification, this means that LSTMs can take into account the context of a word or phrase within a sentence, paragraph, or even an entire document. LSTMs can learn to selectively forget or remember information from the past, which is useful for filtering out noise or irrelevant information in text. LSTMs are well-established in the field of natural language processing (NLP) and have been shown to be effective for various NLP tasks, including sentiment analysis and text classification. Binary cross-entropy is a commonly used loss function in deep learning models for binary classification problems, such as predicting whether a comment is toxic or not. Binary cross-entropy is designed to optimize the model's predictions based on the binary nature of the classification task. It penalizes the model for assigning a low probability to the correct class and rewards it for assigning a high probability to the correct class. The loss function is differentiable, which allows gradient-based optimization methods to be used during training to minimize the loss and improve the model's performance. Binary cross-entropy is a well-established loss function that has been extensively used in the field of deep learning, and there are many tools and frameworks that support it, making it easy to implement in practice. Binary cross-entropy also has a probabilistic interpretation, which can be useful in some applications. For example, it can be used to estimate the probability that a given comment is toxic. Hence, Binary Cross Entropy has been chosen as the loss function for the Deep Learning model.","Shukla, Anubhav, Arora, Deepak",,,Deep Learning Model for Identification and Classification of Web based Toxic Comments,,,10.1109/APSIT58554.2023.10201794 , ,2023,"Everyday, many individuals face online trolling and receive hate on different social media platforms like Twitter, Instagram to name a few. Often these comments involving racial abuse, hate based on religion, caste are made by anonymous people over the internet, and it is quite a task to keep these comments under control. So, the objective was to develop a Machine Learning Model to help identify these comments. A Deep Learning Model (a sequential model) was made and it was trained to identify and classify a comment based on whether it is an apt comment or not. LSTM (Long Short-Term Memory) is a type of recurrent neural network (RNN) that is particularly well-suited for modeling sequential data, such as text. LSTMs are capable of modeling long-term dependencies in sequential data. In the case of text classification, this means that LSTMs can take into account the context of a word or phrase within a sentence, paragraph, or even an entire document. LSTMs can learn to selectively forget or remember information from the past, which is useful for filtering out noise or irrelevant information in text. LSTMs are well-established in the field of natural language processing (NLP) and have been shown to be effective for various NLP tasks, including sentiment analysis and text classification. Binary cross-entropy is a commonly used loss function in deep learning models for binary classification problems, such as predicting whether a comment is toxic or not. Binary cross-entropy is designed to optimize the model's predictions based on the binary nature of the classification task. It penalizes the model for assigning a low probability to the correct class and rewards it for assigning a high probability to the correct class. The loss function is differentiable, which allows gradient-based optimization methods to be used during training to minimize the loss and improve the model's performance. Binary cross-entropy is a well-established loss function that has been extensively used in the field of deep learning, and there are many tools and frameworks that support it, making it easy to implement in practice. Binary cross-entropy also has a probabilistic interpretation, which can be useful in some applications. For example, it can be used to estimate the probability that a given comment is toxic. Hence, Binary Cross Entropy has been chosen as the loss function for the Deep Learning model.",,,,, ,"  2023 International Conference in Advances in Power, Signal, and Information Technology (APSIT)",,detection,
7200,"Title:Praise or Insult? Identifying Cyberbullying Using Natural Language Processing

 Cyberbullying has become a prevalent issue in the current era of technology. The prevalence of such content on online platforms not only perpetuates harmful behavior but also poses a threat to online communities and individuals' mental health. To address this issue there is a growing need for automated systems to detect toxic comments on social media. In this work, our focus is on utilizing natural language processing (NLP) techniques to distinguish between praise and insult in online comments on Reddit, a popular social media platform. In particular, we first benchmarked the classification performance using Term-Frequency Inverse Document Frequency (TF-IDF) features and then employed two different deep-learning-based approaches, Keras Embedding, and Global vectors for word representation (GloVe). Our results show that whereas the TF-IDF features achieve an accuracy of 83%, GloVe achieves an accuracy of 89%, but Keras Embeddings achieved an accuracy of 93%. Although these results are relatively poorer than the baseline classification accuracy of 97.8%, the size of our proposed solution is around 28 MB compared to 340 MB of the baseline model XLNet model, thereby making our solution more viable for real-time applications. These results suggest that there is ample opportunity for further research and development in this area, with the potential to make a real difference in the fight against cyberbullying.","Tariq, Nimra, Syed, Zafi Sherhan, Saba, Erum",,,Praise or Insult? Identifying Cyberbullying Using Natural Language Processing,,,10.1109/IMTIC58887.2023.10178609 , ,2023,"Cyberbullying has become a prevalent issue in the current era of technology. The prevalence of such content on online platforms not only perpetuates harmful behavior but also poses a threat to online communities and individuals' mental health. To address this issue there is a growing need for automated systems to detect toxic comments on social media. In this work, our focus is on utilizing natural language processing (NLP) techniques to distinguish between praise and insult in online comments on Reddit, a popular social media platform. In particular, we first benchmarked the classification performance using Term-Frequency Inverse Document Frequency (TF-IDF) features and then employed two different deep-learning-based approaches, Keras Embedding, and Global vectors for word representation (GloVe). Our results show that whereas the TF-IDF features achieve an accuracy of 83%, GloVe achieves an accuracy of 89%, but Keras Embeddings achieved an accuracy of 93%. Although these results are relatively poorer than the baseline classification accuracy of 97.8%, the size of our proposed solution is around 28 MB compared to 340 MB of the baseline model XLNet model, thereby making our solution more viable for real-time applications. These results suggest that there is ample opportunity for further research and development in this area, with the potential to make a real difference in the fight against cyberbullying.",,,,, ,  2023 7th International Multi-Topic ICT Conference (IMTIC),,detection#methodology,
7201,"Title:Enhancing Model Robustness by Incorporating Adversarial Knowledge into Semantic Representation

 Despite that deep neural networks (DNNs) have achieved enormous success in many domains like natural language processing (NLP), they have also been proven to be vulnerable to maliciously generated adversarial examples. Such inherent vulnerability has threatened various real-world deployed DNNs-based applications. To strength the model robustness, several countermeasures have been proposed in the English NLP domain and obtained satisfactory performance. However, due to the unique language properties of Chinese, it is not trivial to extend existing defenses to the Chinese domain. Therefore, we propose AdvGraph, a novel defense which enhances the robustness of Chinese-based NLP models by incorporating adversarial knowledge into the semantic representation of the input. Extensive experiments on two real-world tasks show that AdvGraph exhibits better performance compared with previous work: (i) effective – it significantly strengthens the model robustness even under the adaptive attacks setting without negative impact on model performance over legitimate input; (ii) generic – its key component, i.e., the representation of connotative adversarial knowledge is task-agnostic, which can be reused in any Chinese-based NLP models without retraining; and (iii) efficient – it is a light-weight defense with sub-linear computational complexity, which can guarantee the efficiency required in practical scenarios.","Li, Jinfeng, Du, Tianyu, Liu, Xiangyu, Zhang, Rong, Xue, Hui, Ji, Shouling",,,Enhancing Model Robustness by Incorporating Adversarial Knowledge into Semantic Representation,,,10.1109/ICASSP39728.2021.9414793 , ,2021,"Despite that deep neural networks (DNNs) have achieved enormous success in many domains like natural language processing (NLP), they have also been proven to be vulnerable to maliciously generated adversarial examples. Such inherent vulnerability has threatened various real-world deployed DNNs-based applications. To strength the model robustness, several countermeasures have been proposed in the English NLP domain and obtained satisfactory performance. However, due to the unique language properties of Chinese, it is not trivial to extend existing defenses to the Chinese domain. Therefore, we propose AdvGraph, a novel defense which enhances the robustness of Chinese-based NLP models by incorporating adversarial knowledge into the semantic representation of the input. Extensive experiments on two real-world tasks show that AdvGraph exhibits better performance compared with previous work: (i) effective – it significantly strengthens the model robustness even under the adaptive attacks setting without negative impact on model performance over legitimate input; (ii) generic – its key component, i.e., the representation of connotative adversarial knowledge is task-agnostic, which can be reused in any Chinese-based NLP models without retraining; and (iii) efficient – it is a light-weight defense with sub-linear computational complexity, which can guarantee the efficiency required in practical scenarios.",,,,, ,"  ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,out_but_toxicity,
